CODESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
34836;ITARIRI;MIRACATU;ITARIRI;6,35
34861;PEDRO BARROS;MIRACATU;MIRACATU;6,85
34873;ARMANDO GONCALVES PROFESSOR;MIRACATU;MIRACATU;5,09
34897;USHISUKE MIADAIRA;MIRACATU;JUQUIA;7,21
34903;ALICE RODRIGUES MOTTA PROFESSORA;MIRACATU;JUQUIA;6,57
34915;OSWALDO FLORENCIO PROFESSOR;MIRACATU;JUQUIA;6,64
34939;JOAO ADORNO VASSAO;MIRACATU;JUQUIA;5,79
34940;BIGUA;MIRACATU;MIRACATU;7,38
34952;RAPOSO TAVARES;MIRACATU;ITARIRI;7,24
34964;OTAVIANO SOARES ALBUQUERQUE;MIRACATU;PEDRO DE TOLEDO;5,83
34997;FRUTUOSO PEREIRA DE MORAES;REGISTRO;CAJATI;6,4
35002;CELSO ANTONIO PROFESSOR;REGISTRO;CAJATI;5,13
35014;BERNARDO FERREIRA MACHADO CAPITAO;REGISTRO;JACUPIRANGA;5,64
35038;MILCIO BAZOLI PROFESSOR;REGISTRO;PARIQUERA-ACU;6,72
35075;ANTONIO FERNANDES PROFESSOR;REGISTRO;REGISTRO;5,42
35087;RUY PRADO DE MENDONCA FILHO PROFESSOR;REGISTRO;REGISTRO;5,06
35099;JOAQUIM GOULART PROFESSOR;REGISTRO;REGISTRO;7,41
35105;PASCOAL GRECCO PROFESSOR;REGISTRO;REGISTRO;7,7
35117;KOKI KITAJIMA;REGISTRO;REGISTRO;6,08
35130;FABIO BARRETO DOUTOR;REGISTRO;REGISTRO;5,5
35142;PLACIDO DE PAULA E SILVA;REGISTRO;SETE BARRAS;6,06
35154;MARIA SANTANA DE ALMEIDA PROFESSORA;REGISTRO;SETE BARRAS;6,65
35166;MARIA APARECIDA VIANA MUNIZ PROFESSORA;REGISTRO;ELDORADO;6,39
35178;JAYME ALMEIDA PAIVA DOUTOR;REGISTRO;ELDORADO;6,33
35185;MIGUEL ABU YAGHI CORONEL;REGISTRO;JACUPIRANGA;5,96
35191;YOLANDA ARAUJO SILVA PAIVA PROFESSORA;REGISTRO;CANANEIA;5,67
35208;MANOEL CAMILLO JUNIOR PROFESSOR;REGISTRO;PARIQUERA-ACU;5,41
35212;MARIA DAS DORES VIANA PEREIRA PROFESSORA;REGISTRO;ELDORADO;7,16
35233;ANTONIO FIGUEIREDO NAVAS COMENDADOR;LINS;PROMISSAO;3,95
35257;SALATHIEL VAZ DE TOLEDO PROF;ITU;ITU;4,57
35269;SYLAS BALTAZAR DE ARAUJO PROFESSOR;MIRACATU;MIRACATU;7,18
35270;TRES BARRAS;MIRACATU;PEDRO DE TOLEDO;6,81
35282;ARMANDO DE SALLES OLIVEIRA GOVERNADOR;REGISTRO;SETE BARRAS;7,08
35294;MARY AZEVEDO DE CARVALHO PROFESSORA;REGISTRO;CAJATI;6,53
35300;MIGUEL JOAO PEREIRA PADILHA;ITARARE;RIVERSUL;7,47
35336;SILVERIO MONTEIRO PROFESSOR;ITAPEVA;ITAPEVA;7,81
35348;CINIRA DANIEL DA SILVA PROFESSORA;ITAPEVA;ITAPEVA;6,28
35361;MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,33
35373;JOAQUIM ANDRADE MEIRELLES PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;2,57
35385;ELMANO FERREIRA VELOSO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,43
35397;JUVENAL MACHADO DE ARAUJO PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,46
35403;ALEXANDRE RODRIGUES NOGUEIRA;ITAPECERICA DA SERRA;EMBU-GUACU;4,38
35415;INSTITUTO MARIA IMACULADA;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;5,44
35427;LUCIA AKEMI MIYA PROFA;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;4,83
35439;MANOEL DA CONCEICAO SANTOS PROFESSOR;CARAPICUIBA;CARAPICUIBA;3,01
35440;REPUBLICA DE CUBA;ITAPEVI;BARUERI;5,2
35452;CECILIA DA PALMA VALENTIM SARDINHA PROFESSORA;CARAPICUIBA;CARAPICUIBA;4,89
35464;FRANCISCO RIBEIRO ROSA PROFESSOR;CARAPICUIBA;CARAPICUIBA;6,9
35476;CELSO PACHECO BENTIN PROFESSOR;CARAPICUIBA;CARAPICUIBA;5,64
35488;PEDRO CASEMIRO LEITE PROFESSOR;CARAPICUIBA;COTIA;4,18
35506;MARIO MANOEL DANTAS DE AQUINO PROFESSOR;SUZANO;FERRAZ DE VASCONCELOS;4,24
35518;BATISTA RENZI;SUZANO;SUZANO;1,92
35524;ELIAS ZUGAIB PROFESSOR;ITAQUAQUECETUBA;POA;5,09
35531;PAULO AMERICO PAGANUCCI PROFESSOR;SUZANO;FERRAZ DE VASCONCELOS;6,37
35543;PAULO FERRARI MASSARO PROFESSOR;MOGI DAS CRUZES;MOGI DAS CRUZES;5,03
35580;SALGADO FILHO MINISTRO;SUL 1;SAO PAULO;5,62
35592;FRANCISCO ANTONIO MARTINS JUNIOR PROFESSOR;SUL 2;SAO PAULO;5,55
35609;HUMBERTO ALFREDO PUCCA PROFESSOR;SUL 2;SAO PAULO;4,97
35610;RENATA GRAZIANO DE OLIVEIRA PRADO PROFESSORA;SUL 2;SAO PAULO;5,58
35622;OCTALLES MARCONDES FERREIRA;SUL 2;SAO PAULO;4,07
35634;HELIO MOTTA DOUTOR;SUL 1;SAO PAULO;5,37
35646;ASSIS CHATEAUBRIAND;SUL 1;SAO PAULO;5,57
35658;JOSEFINA MARIA BARBOSA PROFESSORA;SUL 2;SAO PAULO;6,13
35661;PERILLIER MADEMOISELLE;SUL 3;SAO PAULO;4,89
35671;VILA SANTA MARIA;DIADEMA;DIADEMA;5,01
35695;PAULO EMILIO SALLES GOMES;SANTO ANDRE;SANTO ANDRE;5,56
35701;ANTONIO GROTKOWSKY PASTOR E VEREADOR;GUARULHOS NORTE;GUARULHOS;5,11
35713;CYRO BARREIROS PROFESSOR;GUARULHOS NORTE;GUARULHOS;5,62
35725;MARIA HILDA ORNELAS DE OLIVEIRA PROFESSORA;GUARULHOS SUL;GUARULHOS;5,32
35737;JOSE INOCENCIO MOREIRA CORONEL;OURINHOS;BERNARDINO DE CAMPOS;5,27
35828;AURELIANO MENDONCA PROFESSOR;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;2,76
35836;MARIA LUIZA FERREIRA ZAMBELLO PROFESSORA;JAU;BARRA BONITA;3,33
35841;ANTONIETA GRASSI MALATRASI PROFA;BAURU;LENCOIS PAULISTA;5,45
35853;BENEDITA PINTO FERREIRA;CARAGUATATUBA;CARAGUATATUBA;6,13
35865;MARIA ESTER DAS NEVES DUTRA DAMASIO PROFESSORA;CARAGUATATUBA;CARAGUATATUBA;5,55
35907;DANTE ALIGHIERI VITA PROFESSOR;CAMPINAS LESTE;CAMPINAS;4,9
35919;SAO JUDAS TADEU;MOGI MIRIM;MOGI-MIRIM;4,9
35920;LONGINO VASTBINDER PADRE;MOGI MIRIM;MOGI-GUACU;3,02
35932;HILDEBRANDO SIQUEIRA PROFESSOR;CAMPINAS LESTE;CAMPINAS;3,53
35956;NUCLEO HABITACIONAL JOSE PAULINO NOGUEIRA;SUMARE;PAULINIA;3,28
35981;EUCLIDES MIRANDA VEREADOR;SUMARE;SUMARE;4,04
35993;DEOLINDA COPELLI DE SOUZA LIMA PROFESSORA;JUNDIAI;JUNDIAI;5
36006;JOAO BATISTA CURADO PROFESSOR;JUNDIAI;JUNDIAI;4,95
36031;GEORGINA HELENA FORTAREL PROFESSORA;JUNDIAI;CAMPO LIMPO PAULISTA;4,59
36043;VENERANDO NALINI MONSENHOR;JUNDIAI;JUNDIAI;4,69
36080;MARIO PEREIRA PINTO;JUNDIAI;CAMPO LIMPO PAULISTA;3,93
36109;JOSE MARCILIANO DA COSTA JUNIOR PROFESSOR;LIMEIRA;LIMEIRA;4,45
36110;AGENOR DE CAMPOS;SAO VICENTE;MONGAGUA;5,91
36146;JOAQUIM SIMAO;JACAREI;SANTA ISABEL;6,47
36158;MARIO NAKATA PROFESSOR;GUARULHOS SUL;GUARULHOS;5,58
36161;MARIA IGNES ARAUJO PAULA SANTOS PROFESSORA;VOTORANTIM;PIEDADE;6,68
36171;ANA MESQUITA LAURINI;ITU;CABREUVA;5,77
36183;MARIA HELENA SIKORSKI CERQUEIRA CESAR PROFESSORA;VOTORANTIM;PIEDADE;6,26
36195;URUBUPUNGA;ANDRADINA;ILHA SOLTEIRA;3,8
36201;VALENTINO REDIVO;MAUA;RIBEIRAO PIRES;4,6
36213;PERCIO PUCCINI PROFESSOR;SANTO ANDRE;SANTO ANDRE;3,49
36250;MARIA STELLA DE CERQUEIRA CESAR PROFA;MARILIA;MARILIA;4,79
36262;FRANCISCO ROSWELL FREIRE;SUL 3;SAO PAULO;5,33
36274;EULALIA SILVA PROFESSORA;SUL 2;SAO PAULO;4,36
36286;LAURO PEREIRA TRAVASSOS PROFESSOR DOUTOR;SUL 1;SAO PAULO;4,7
36298;JOAO SUSSUMU HIRATA DEPUTADO;SUL 2;SAO PAULO;4,19
36336;OSMARINA SEDEH PADILHA PROFESSORA;PIRASSUNUNGA;PIRASSUNUNGA;4,6
36341;FRANCISCO FELICIANO FERREIRA DA SILVA PROF CHICO FERREIRA;JACAREI;JACAREI;3,18
36353;VALTER DA SILVA COSTA VEREADOR;ITAQUAQUECETUBA;ITAQUAQUECETUBA;5,57
36365;BAIRRO DOS BARNABES;ITAPECERICA DA SERRA;JUQUITIBA;6,85
36377;REGINA HALEPIAN ANTUNES PROFESSORA;CARAPICUIBA;CARAPICUIBA;5,8
36389;REPUBLICA DE EL SALVADOR;ITAPEVI;BARUERI;4,56
36407;JARDIM JACIRA;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;5,39
36419;APARECIDA FERREIRA DOURADO DE CARVALHO PROFESSORA;TABOAO DA SERRA;EMBU DAS ARTES;5,09
36420;ELYDIA BENETTI PROFESSOA;SAO CARLOS;SAO CARLOS;4,79
36432;ADAIL MALMEGRIM GONCALVES PROFESSOR;SAO CARLOS;SAO CARLOS;4,88
36444;GENESIO DE ALMEIDA MOURA DOUTOR;NORTE 1;SAO PAULO;5,39
36456;MIGUEL OLIVA FEITOSA PROFESSOR;NORTE 1;SAO PAULO;4,03
36468;HONORINO FABBRI DOUTOR;SUMARE;HORTOLANDIA;2,63
36473;DARIO BRASIL DOUTOR;PIRACICABA;PIRACICABA;4,57
36500;GERALDO HOMERO FRANCA OTTONI PROFESSOR;NORTE 1;SAO PAULO;5,45
36559;AUGUSTO BAILLOT PROF;LESTE 4;SAO PAULO;6,48
36560;CESAR DACORSO FILHO PROF;LESTE 2;SAO PAULO;6,1
36596;JORGE SARAIVA;SUL 3;SAO PAULO;4,98
36648;BALTAZAR FERNANDES;SOROCABA;SOROCABA;2,07
36651;DIOGENES ALMEIDA MARINS PROFESSOR;SOROCABA;SOROCABA;5,4
36663;LEONARDO SOARES RODRIGUES;SAO ROQUE;VARGEM GRANDE PAULISTA;3,46
36675;ARY BOUZAN PROFESSOR;CARAPICUIBA;COTIA;3,5
36687;HILDA PRATES GALLO PROFESSORA;GUARULHOS NORTE;GUARULHOS;5,24
36699;SILVERIO BERTONI PROFESSOR;GUARULHOS NORTE;GUARULHOS;5
36705;HONORIO MONTEIRO DOUTOR;SUL 2;SAO PAULO;6,33
36717;FRANCISCO DE PAULA VICENTE DE AZEVEDO;SUL 2;SAO PAULO;5,67
36729;CARLOS DE MORAES ANDRADE PROF;SUL 3;SAO PAULO;5,35
36730;CARLOS AYRES PROF;SUL 3;SAO PAULO;3,57
36742;GIULIO DAVID LEONE PROF;SUL 3;SAO PAULO;4,56
36754;MIGUEL KRUSE DOM;LESTE 1;SAO PAULO;3,95
36766;FRANCISCO MESQUITA JORNALISTA;LESTE 1;SAO PAULO;5,12
36778;LUIGI PIRANDELLO;LESTE 1;SAO PAULO;5,64
36785;PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO;LESTE 2;SAO PAULO;4,37
36791;FORCA AEREA BRASILEIRA;LESTE 2;SAO PAULO;6,15
36808;ANTONIO DE OLIVEIRA CAMARGO PROFESSOR;LESTE 1;SAO PAULO;4,33
36812;PAULO SARASATE GOVERNADOR;LESTE 3;SAO PAULO;5
36821;GUILHERME DE ALMEIDA;NORTE 2;SAO PAULO;3,71
36869;VEIGA DE MIRANDA MINISTRO;RIBEIRAO PRETO;RIBEIRAO PRETO;5,94
36870;ANGELO GOSUEN PROF;FRANCA;FRANCA;4,71
36882;LINA PICCHIONI ROCHA PROFA;FRANCA;FRANCA;5,16
36894;VALOIS SCORTECCI;BARRETOS;BARRETOS;4,96
36912;EDUARDO SOARES PROF;ITAPETININGA;ALAMBARI;5,67
36936;MAYA ALICE EKMAN;SAO VICENTE;PERUIBE;5,46
36959;MANUEL BANDEIRA;NORTE 1;SAO PAULO;4,24
36961;MOZART TAVARES DE LIMA PROFESSOR;LESTE 3;SAO PAULO;5,57
36973;BRANCA CASTRO CANTO E MELO PROFESSORA;LESTE 5;SAO PAULO;2,51
36985;OSWALDO GUERNER GONZALEZ PROFESSOR;CENTRO SUL;SAO PAULO;3,53
36997;LUIS GONZAGA CARVALHO MELO PROFESSOR;LESTE 1;SAO PAULO;3,61
37000;ANNE FRANK;LESTE 1;SAO PAULO;4,83
37011;GERALDO CAMPOS MOREIRA PROFESSOR DOUTOR;LESTE 1;SAO PAULO;4,46
37023;HECKEL TAVARES;LESTE 2;SAO PAULO;5,28
37035;ASTROGILDO ARRUDA PROF;LESTE 2;SAO PAULO;4,23
37047;ANISIO TEIXEIRA PROFESSOR;LESTE 3;SAO PAULO;4,31
37059;HUMBERTO DANTAS;LESTE 3;SAO PAULO;4,98
37060;ROCCA DORDALL;LESTE 3;SAO PAULO;6,38
37072;JOAQUIM EUGENIO LIMA NETO;LESTE 2;SAO PAULO;5,4
37084;ERNESTINA DEL BUONO TRAMA PROFESSORA;LESTE 3;SAO PAULO;4,44
37096;COSME DE FARIA MAJOR;LESTE 2;SAO PAULO;5,4
37102;MARTIN EGIDIO DAMY;NORTE 1;SAO PAULO;4,49
37114;TADAKIYO SAKAI;TABOAO DA SERRA;EMBU DAS ARTES;4,48
37138;GERTRUDES EDER;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;4,48
37148;CARLOS ARAUJO PIMENTEL PROFESSOR DOUTOR;CAMPINAS LESTE;CAMPINAS;1,17
37151;GERALDO CORREIA DE CARVALHO DOUTOR;RIBEIRAO PRETO;RIBEIRAO PRETO;4,89
37175;LUIZ MENEZES PROF;GUARATINGUETA;GUARATINGUETA;5,73
37205;IOLANDA VELLUTINI PROFESSORA;PINDAMONHANGABA;PINDAMONHANGABA;4,85
37217;FRANCISCO PAIVA DE FIGUEIREDO PASTOR;SANTOS;GUARUJA;5,53
37230;JOSEPHA DE SANT ANNA NEVES PROFESSORA;CARAGUATATUBA;SAO SEBASTIAO;5,29
37242;SYLVIA DE MELLO PROFESSORA;SAO VICENTE;PRAIA GRANDE;5,1
37254;JOSE CARLOS BRAGA DE SOUZA DOUTOR;SAO VICENTE;ITANHAEM;5,24
37266;MARIA DE LOURDES GUIMARAES PROFESSORA;SANTO ANDRE;SANTO ANDRE;4,27
37278;SEBASTIAO VAYEGO DE CARVALHO PROFESSOR;MAUA;RIO GRANDE DA SERRA;5,48
37285;JOAO CARLOS GOMES CARDIM PROF;DIADEMA;DIADEMA;4,41
37291;ARIOVALDO PUPO AMORIM PROFESSOR;MAUA;MAUA;5,43
37308;FLORISBELLA DE CAMPOS WERNECK DONA;MAUA;MAUA;5,29
37312;OLAVO HANSEN;MAUA;MAUA;4,74
37321;MARTA TERESINHA ROSA PROFESSORA;MAUA;MAUA;5,12
37333;DUQUE DE CAXIAS;LESTE 5;SAO PAULO;4,37
37345;TIDE SETUBAL;LESTE 1;SAO PAULO;3,61
37357;HENRIQUE SMITH BAYMA DR;LESTE 2;SAO PAULO;5,97
37369;CESAR MARENGO;LESTE 5;SAO PAULO;4,82
37370;FRANCISCO DA COSTA GUEDES;LESTE 5;SAO PAULO;2,91
37382;ELZA SARAIVA MONTEIRO PROFA;NORTE 2;SAO PAULO;4,76
37394;FRANCISCO JOAO DE AZEVEDO PADRE;SUL 3;SAO PAULO;3,05
37400;OSWALD DE ANDRADE;SUL 2;SAO PAULO;4,61
37412;VICENTE DE PAULO DALE COUTINHO GAL EXE;SUL 3;SAO PAULO;5,68
37424;LOURIVAL GOMES MACHADO PROFESSOR;CENTRO OESTE;SAO PAULO;3,38
37436;ALMEIDA JUNIOR PROFESSOR;CENTRO OESTE;SAO PAULO;3,82
37448;LAERTE RAMOS DE CARVALHO PROF DR;SUL 3;SAO PAULO;1,86
37459;LUIZ SIMIONI SOBRINHO PROFESSOR;SUL 1;SAO PAULO;3,2
37461;MESSIAS FREIRE PROFESSOR;SUL 1;SAO PAULO;5,56
37473;SAMUEL MORSE PROFESSOR;SUL 2;SAO PAULO;5,85
37497;BENEDITA DE OLIVEIRA ALE PROFESSORA;GUARULHOS NORTE;GUARULHOS;4,22
37503;FLAVIO XAVIER ARANTES PROFESSOR;GUARULHOS NORTE;GUARULHOS;5,4
37515;FIORAVANTE IERVOLINO;GUARULHOS NORTE;GUARULHOS;3,74
37540;JOAO MARTINS;TABOAO DA SERRA;EMBU DAS ARTES;4,92
37552;CARLOS KOCH DOUTOR;TABOAO DA SERRA;EMBU DAS ARTES;5,17
37564;BENEDITA DE REZENDE PROFA;ITU;SALTO;5,07
37576;ANTONIO LUIZ BARREIROS;SAO VICENTE;SAO VICENTE;4,02
37588;CANDIDO DE OLIVEIRA PROF;SUL 3;SAO PAULO;5,47
37597;ALCIDES DA COSTA VIDIGAL;CENTRO OESTE;SAO PAULO;1,81
37606;HOMERO DOS SANTOS FORTE PROFESSOR;SUL 1;SAO PAULO;6,24
37618;ALVARO DE SOUZA LIMA DOUTOR;CENTRO SUL;SAO PAULO;5,08
37624;CAFE FILHO PRESIDENTE;SUL 2;SAO PAULO;5,12
37631;JOCILA PEREIRA GUIMARAES PROFESSORA;GUARULHOS SUL;GUARULHOS;3,76
37643;ANTONIO CARLOS FERREIRA NOBRE PROFESSOR;NORTE 1;SAO PAULO;2,12
37655;UBALDO COSTA LEITE DOUTOR;NORTE 1;SAO PAULO;4,75
37667;PAULO NOGUEIRA FILHO;NORTE 1;SAO PAULO;3,57
37679;EDGARD PIMENTEL REZENDE PROFESSOR;NORTE 1;SAO PAULO;3,94
37680;CRISPIM DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;6,3
37692;ANA SIQUEIRA DA SILVA;NORTE 1;SAO PAULO;3,51
37709;CARLOS FREDERICO WERNECK LACERDA JORNALISTA;NORTE 1;SAO PAULO;5,16
37710;MILTON DA SILVA RODRIGUES PROFESSOR;NORTE 1;SAO PAULO;2,53
37722;CACILDA BECKER;NORTE 1;SAO PAULO;3,47
37734;ARLETE TEREZINHA PIZAO PROFA;NORTE 2;SAO PAULO;3,15
37746;ORLANDO HORACIO VITA PROFESSOR;CENTRO;SAO PAULO;3,12
37758;DAILY RESENDE FRANCA PROFESSOR;CENTRO;SAO PAULO;1,93
37761;YOLANDO MALLOZZI;NORTE 2;SAO PAULO;4,72
37771;LUZIA GODOY PROFA;NORTE 2;SAO PAULO;2,9
37783;VERIDIANA CAMACHO CARVALHO GOMES PROFA;NORTE 2;SAO PAULO;4,67
37795;JUSTINO CARDOSO DR;NORTE 2;SAO PAULO;2,31
37801;JOAQUIM GOUVEIA FRANCO JUNIOR DEPUTADO;LESTE 5;SAO PAULO;4,31
37813;DIDIO DA SILVEIRA BALDY PROF;LESTE 4;SAO PAULO;4,48
37837;LOURDES MARIA DE CAMARGO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,11
37849;JENI DAVI BACHA PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,36
37874;IGNACIO GIOIA MONSENHOR;TAUBATE;SAO LUIZ DO PARAITINGA;5,49
37898;FELIX GUISARD FILHO DOUTOR;TAUBATE;TAUBATE;5,19
37916;TEIXEIRA POMBO COMENDADOR;PINDAMONHANGABA;TREMEMBE;4,08
37928;SINESIA MARTINI PROFA;AMERICANA;AMERICANA;5,73
37936;IRENE DE ASSIS SAES PROFA;AMERICANA;SANTA BARBARA D'OESTE;3,07
37941;CECILIA DE NEGRI PROFESSORA;SUMARE;SUMARE;5,6
37965;MARIO NATIVIDADE DOUTOR;CAMPINAS LESTE;CAMPINAS;5,39
37977;HELIO NEHRING PROFESSOR;PIRACICABA;PIRACICABA;5,57
37989;LUCIANO GUIDOTTI COMENDADOR;PIRACICABA;PIRACICABA;3,06
38003;IRACEMA DE CASTRO AMARANTE PROFA;BAURU;BAURU;6,17
38027;ALVA FABRI MIRANDA PROFESSORA;JAU;PEDERNEIRAS;4,18
38064;RUBENS PIETRAROIA;BAURU;LENCOIS PAULISTA;4,31
38076;TEREZINHA MARIANO MAGNANI PROFESSORA;OURINHOS;ESPIRITO SANTO DO TURVO;5,32
38097;ITALO BETARELLO;NORTE 1;SAO PAULO;3,36
38106;EDUARDO CARLOS PEREIRA;LESTE 5;SAO PAULO;3,44
38118;ALCEU GUERNER GONZALEZ PROF;LESTE 2;SAO PAULO;5,76
38124;MARIA AUGUSTA SARAIVA DOUTORA;CENTRO;SAO PAULO;3,21
38131;AUGUSTO DO AMARAL DEPUTADO;CENTRO OESTE;SAO PAULO;4,82
38143;CAETANO DE CAMPOS;CENTRO SUL;SAO PAULO;3,4
38155;RUBENS DO AMARAL DEPUTADO;CENTRO SUL;SAO PAULO;2,68
38167;JOSE MARIA WHITAKER DOUTOR;CENTRO SUL;SAO PAULO;1,9
38179;CARLOS PASQUALE PROFESSOR;CENTRO SUL;SAO PAULO;4,65
38180;ARTHUR WOLFF NETTO PROFESSOR;SUL 1;SAO PAULO;5,69
38209;MIGUEL ROQUE PROFESSOR;SUL 1;SAO PAULO;3,3
38210;SALVADOR MOYA;SUL 1;SAO PAULO;3,69
38222;JOSE JOAQUIM CARDOSO DE MELLO NETO PROFESSOR;SUL 2;SAO PAULO;5,54
38234;VICENTE RAO PROFESSOR;SUL 1;SAO PAULO;5,12
38246;EURICO GASPAR DUTRA MARECHAL;SUL 2;SAO PAULO;4,44
38258;FRANCISCO DE PAULA CONCEICAO JUNIOR PROFESSOR;SUL 1;SAO PAULO;4,71
38261;ADRIAO BERNARDES PROF;SUL 3;SAO PAULO;5,86
38271;CALLIA MAESTRO;SUL 3;SAO PAULO;4,68
38283;JOAQUIM ALVARES CRUZ PROF;SUL 3;SAO PAULO;6,54
38295;JOSE LINS DO REGO;SUL 2;SAO PAULO;3,56
38301;MARIA LUIZA DE ANDRADE MARTINS ROQUE PROFA;SUL 3;SAO PAULO;4,7
38313;VERA ATHAYDE PEREIRA PROFA;SUL 3;SAO PAULO;4,52
38325;NELSON MANZANARES DR;CAIEIRAS;CAIEIRAS;5,22
38337;ANA MARIA GARRIDO ORLANDIN PROFA;CAIEIRAS;CAJAMAR;4,9
38349;ROGERIO LEVORIN PROF;CAIEIRAS;FRANCISCO MORATO;4,83
38362;BARTHOLOMEU DE CARLOS;GUARULHOS SUL;GUARULHOS;5,25
38374;ALBERTO BACAN PROFESSOR;GUARULHOS SUL;GUARULHOS;6,11
38386;HYEROCLIO ELOY PESSOA BARROS;JACAREI;SANTA ISABEL;5,84
38398;IVAN BRASIL;JACAREI;GUARAREMA;2,91
38428;ERVIN HORVATH DOUTOR;ITAQUAQUECETUBA;ITAQUAQUECETUBA;5,73
38453;JOAO PAULO II;MAUA;MAUA;2,2
38465;JOAO PAULINO DE FARIA JUNIOR PROFESSOR;MAUA;MAUA;2,93
38477;MARLI RAIA REIS PROFESSORA;MAUA;RIBEIRAO PIRES;5,22
38489;SIMAO SALEM REVERENDO;SANTO ANDRE;SANTO ANDRE;4,34
38490;CELESTINO BOURROUL PROFESSOR;SANTO ANDRE;SANTO ANDRE;6,06
38519;MARIA CRISTINA SCHMIDT MIRANDA PROFESSORA;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;3,6
38532;DIDITA CARDOSO ALVES PROFESSORA;CARAPICUIBA;CARAPICUIBA;3,83
38544;SALOMAO JORGE DEPUTADO;CARAPICUIBA;CARAPICUIBA;5,39
38556;RICARDO ANTONIO PECCHIO PROFESSOR;CARAPICUIBA;CARAPICUIBA;5,77
38568;ODETTE ALGODOAL LANZARA PROFESSORA;CARAPICUIBA;CARAPICUIBA;5,07
38581;ALEXANDRINA BASSITH;TABOAO DA SERRA;EMBU DAS ARTES;4,66
38600;JACQUES KLEIN;TABOAO DA SERRA;EMBU DAS ARTES;5,99
38647;JOSE GERALDO VIEIRA;OSASCO;OSASCO;4,13
38684;GASTAO RAMOS PROFESSOR;OSASCO;OSASCO;5,44
38702;ANTONIO DE ALMEIDA JUNIOR;OSASCO;OSASCO;5,56
38726;TARSILA DO AMARAL;OSASCO;OSASCO;5,12
38738;FRANCISCO MATARAZZO SOBRINHO;OSASCO;OSASCO;5,49
38751;SUELI APARECIDA FIGUEIRA DOS SANTOS PROFESSORA;CARAGUATATUBA;UBATUBA;5,19
38763;DIONISIA BUENO VELLOSO PROFESSORA;CARAGUATATUBA;UBATUBA;5,76
38775;DOMINGOS DE SOUZA PREFEITO;SANTOS;GUARUJA;3,46
38805;JOAO OCTAVIO DOS SANTOS;SANTOS;SANTOS;4,43
38830;OTTONIEL JUNQUEIRA PROFESSOR;SAO VICENTE;PERUIBE;4,18
38842;LUIZ D AUREA PROFESSOR;SAO VICENTE;SAO VICENTE;4,6
38866;SYLVIA NOEMIA DE ALBUQUERQUE MARTINS PROFA;APIAI;APIAI;7,64
38878;JOAO PEDRO DO NASCIMENTO PROF;APIAI;APIAI;8,3
38885;ABDIEL LOPES MONTEIRO PROF;APIAI;RIBEIRAO BRANCO;8,25
38908;MARIA IZABEL CRUZ PIMENTEL DONA;AVARE;AVARE;4,59
38921;SADAMITA IVASSAKI;ITAPETININGA;SAO MIGUEL ARCANJO;6,5
38945;BENEDITO LAZARO DE CAMPOS DR;ITU;ITU;4,72
38957;JORDINA AMARAL ARRUDA PROFESSORA;SOROCABA;SOROCABA;4,37
38970;CLEIDE DA FONSECA FERREIRA PROFA;MOGI MIRIM;MOGI-GUACU;5,75
38982;ANTONIO DOS SANTOS PROF;ARARAQUARA;ARARAQUARA;4,79
39007;PEDRO NUNES ROCHA PROF;FRANCA;FRANCA;4,15
39019;ANDRELINO VIEIRA PROFESSOR;SAO CARLOS;SAO CARLOS;4,73
39020;WALFREDO DE ANDRADE FOGACA PROFESSOR;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;5,41
39056;ELVIRA SILVA PROFESSORA;MIRACATU;IGUAPE;6,05
39093;JULIETA TERLIZZI BINDO PROFA;LESTE 4;SAO PAULO;4,04
39100;GASTAO STRANG PROFESSOR;LESTE 5;SAO PAULO;3,34
39111;JAIME CORTESAO;LESTE 5;SAO PAULO;2,69
39123;CHARLES DE GAULLE;LESTE 2;SAO PAULO;3,95
39135;DULCE LEITE DA SILVA PROFA;LESTE 2;SAO PAULO;5,96
39147;MARTHA FIGUEIRA NETTO DA SILVA PROFESSORA;CENTRO SUL;SAO PAULO;4,44
39159;ROBERTO MANGE;SUL 3;SAO PAULO;4,89
39172;ANA LUIZA FLORENCE BORGES PROFA;SUL 3;SAO PAULO;5,49
