CODESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
1582;DOMINGOS FAUSTINO SARMIENTO;LESTE 5;SAO PAULO;5,44
1600;PLINIO BARRETO;LESTE 5;SAO PAULO;2,29
1624;WOLNY CARVALHO RAMOS PROFESSOR;LESTE 5;SAO PAULO;0,88
1659;ANCHIETA PADRE;CENTRO;SAO PAULO;3,91
1661;MMDC;CENTRO SUL;SAO PAULO;1,05
1673;MARIA DA GLORIA COSTA E SILVA PROFESSORA;LESTE 5;SAO PAULO;3,98
1685;MARIO CASASSANTA PROFESSOR;CENTRO SUL;SAO PAULO;2,08
1697;BEATRIZ R BASSI ASTORINO PROFESSORA;LESTE 5;SAO PAULO;2,43
1703;MARIO MARQUES DE OLIVEIRA PROFESSOR;LESTE 5;SAO PAULO;1,3
1727;VICTOR MIGUEL ROMANO PROF;LESTE 4;SAO PAULO;4,07
1739;ANDRE DREYFUS PROFESSOR;CENTRO SUL;SAO PAULO;4,24
1740;STEFAN ZWEIG;LESTE 5;SAO PAULO;2,64
1752;AROLDO DE AZEVEDO PROF;LESTE 4;SAO PAULO;4,18
1764;ANNITA ATALLA PROFESSORA;CENTRO SUL;SAO PAULO;3,55
1776;SECUNDINO DOMINGUES FILHO DOUTOR;LESTE 5;SAO PAULO;3
1788;OLGA BENATTI PROFESSORA;CENTRO SUL;SAO PAULO;3,47
1797;BRISABELLA ALMEIDA NOBRE PROFESSORA;CENTRO SUL;SAO PAULO;3,15
1806;JOY ARRUDA DOUTOR;LESTE 5;SAO PAULO;2,49
1818;JOCELYN PONTES GESTAL PROF;LESTE 4;SAO PAULO;4,68
1824;JOSE HEITOR CARUSI PROFESSOR;CENTRO SUL;SAO PAULO;0,85
1843;FRANCISCO BORGES VIEIRA DOUTOR;CENTRO SUL;SAO PAULO;2,31
1855;AMERICO DE MOURA PROFESSOR;CENTRO SUL;SAO PAULO;2,09
1867;LUIZA MENDES CORREA SOUZA PROFESSORA;LESTE 5;SAO PAULO;2,2
1879;JOAO FIRMINO DE CAMPOS;CENTRO SUL;SAO PAULO;3,63
1880;JOSE CHEDIAK;LESTE 5;SAO PAULO;1,95
1892;REPUBLICA DO PARAGUAY;CENTRO SUL;SAO PAULO;4
1909;CAROLINA AUGUSTA DA COSTA GALVAO PROFESSORA;CENTRO SUL;SAO PAULO;6,23
1910;CLEMENTE QUAGLIO PROFESSOR;LESTE 5;SAO PAULO;1,64
1922;JULIETA NOGUEIRA RINALDI PROFESSORA;LESTE 5;SAO PAULO;3,88
1934;JOAQUIM BRAGA DE PAULA PROFESSOR;LESTE 5;SAO PAULO;3,66
1958;JULIA MACEDO PANTOJA PROFESSORA;CENTRO SUL;SAO PAULO;1,4
1961;NORBERTO MAYER FILHO DEPUTADO;LESTE 5;SAO PAULO;3,97
1971;MOACYR CAMPOS PROFESSOR;LESTE 5;SAO PAULO;2,36
1995;JULIA AMALIA AZEVEDO ANTUNES PROFESSORA;LESTE 5;SAO PAULO;1,82
2008;JOAO DIAS DA SILVEIRA PROFESSOR;LESTE 5;SAO PAULO;1,43
2012;JOAO CLIMACO DA SILVA KRUSE PROFESSOR;LESTE 5;SAO PAULO;1,91
2021;IRENE RIBEIRO PROFESSORA;LESTE 5;SAO PAULO;3,5
2045;ALVINO BITTENCOURT PROFESSOR;LESTE 5;SAO PAULO;4,65
2057;AMELIA DE ARAUJO DONA;LESTE 5;SAO PAULO;2,39
2069;ARACY LEME DA VEIGA RAVACHE PROFESSORA;LESTE 5;SAO PAULO;3,26
2070;BENEDITO ESTEVAM DOS SANTOS DOUTOR;LESTE 5;SAO PAULO;2,88
2082;BLANCA ZWICKER SIMOES PROFESSORA                            ;LESTE 5;SAO PAULO;3,01
2094;FREDERICO VERGUEIRO STEIDEL;LESTE 5;SAO PAULO;2,82
2100;ERASMO BRAGA;LESTE 5;SAO PAULO;3,36
2112;CONGONHAS DO CAMPO VISCONDE DE;LESTE 5;SAO PAULO;1,93
2124;CARLOS ESCOBAR;LESTE 5;SAO PAULO;4,92
2136;CARAMURU;LESTE 5;SAO PAULO;2,61
2148;PAULO NOVAES DE CARVALHO PROFESSOR;LESTE 5;SAO PAULO;2,51
2159;PEDRO ARBUES CORONEL;LESTE 5;SAO PAULO;2,89
2161;SALVADOR ROCCO PROFESSOR;LESTE 5;SAO PAULO;2,54
2173;JOAO BORGES PROFESSOR;LESTE 5;SAO PAULO;0,28
2197;IRENE DE LIMA PAIVA PROFESSORA;LESTE 5;SAO PAULO;1,59
2203;JOSE MARQUES DA CRUZ PROFESSOR;LESTE 5;SAO PAULO;1,98
2227;BENEDITA RIBAS F SILVEIRA PROFESSORA;LESTE 5;SAO PAULO;2,81
2239;ALMERINDA RODRIGUES MELLO PROFESSORA;LESTE 5;SAO PAULO;4,98
2240;ANTONIO CANDIDO BARONE;LESTE 5;SAO PAULO;2,41
2252;ASCENDINO REIS PROFESSOR;LESTE 5;SAO PAULO;0,62
2264;OSWALDO CATALANO;LESTE 5;SAO PAULO;1,63
2288;PAULO CAVALCANTI ALBUQUERQUE PROFESSOR;LESTE 5;SAO PAULO;4,66
2297;ORVILLE DERBY;LESTE 5;SAO PAULO;2,63
2318;SANTOS AMARO DA CRUZ PROFESSOR;LESTE 5;SAO PAULO;3,06
2331;PILAR GARCIA VIDAL DONA;LESTE 4;SAO PAULO;3,65
2343;MARIA LOURDES N ALBERGARIA PROFA;LESTE 4;SAO PAULO;3,51
2355;MARISA DE MELLO PROFA;LESTE 4;SAO PAULO;3,67
2367;OLGA MARINOVIC DORO PROFA;LESTE 4;SAO PAULO;3,46
2379;RITA JULIA DE OLIVEIRA PROFESSORA;LESTE 1;SAO PAULO;3,17
2380;SANTOS DUMONT;LESTE 1;SAO PAULO;3,83
2392;JOSE BARTOCCI PROFESSOR;LESTE 1;SAO PAULO;3,68
2409;LUIZ ANTONIO FRAGOSO PROF;LESTE 4;SAO PAULO;2,65
2410;THEODOMIRO EMERIQUE PROFESSOR;LESTE 1;SAO PAULO;2,63
2422;GABRIEL ORTIZ PROFESSOR;LESTE 1;SAO PAULO;1,6
2434;JAMIL PEDRO SAWAYA PROF;LESTE 4;SAO PAULO;3,92
2446;JOSE DE CAMPOS CAMARGO PROFESSOR;LESTE 1;SAO PAULO;3,06
2458;BERNARDO RODRIGUES NOGUEIRA DOM;LESTE 4;SAO PAULO;3,59
2461;JOAO MARIA OGNO OSB DOM;LESTE 1;SAO PAULO;2,67
2471;ZALINA ROLIM DONA;LESTE 4;SAO PAULO;2,86
2483;ESTHER FRANKEL SAMPAIO;LESTE 1;SAO PAULO;5,8
2513;NOSSA SENHORA DA PENHA;LESTE 1;SAO PAULO;2,09
2525;ANTAO PADRE;LESTE 1;SAO PAULO;2,35
2537;ADALGISA MOREIRA PIRES PROFESSORA;LESTE 1;SAO PAULO;3,45
2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;LESTE 4;SAO PAULO;2,9
2550;MARIA APARECIDA DE CASTRO MASIERO PROFESSORA;LESTE 1;SAO PAULO;3,15
2562;MARIA DE CARVALHO SENNE PROFESSORA;LESTE 1;SAO PAULO;2,45
2574;CUSTODIO JOSE DE MELLO ALMIRANTE;LESTE 1;SAO PAULO;2,08
2586;BARAO DE RAMALHO;LESTE 1;SAO PAULO;2,51
2598;ASTOLFO ARAUJO DEPUTADO;LESTE 4;SAO PAULO;3,81
2616;MARIA AUGUSTA DE AVILA PROFA;LESTE 4;SAO PAULO;3,7
2636;INFANTE DOM HENRIQUE;LESTE 4;SAO PAULO;2,06
2641;JOSE PEREIRA DE QUEIROZ DR;LESTE 4;SAO PAULO;2,17
2653;AFONSO PENNA JUNIOR PROF;LESTE 4;SAO PAULO;2,76
2665;SOUZA QUEIROZ BARAO DE;LESTE 1;SAO PAULO;6,43
2677;JOSE TALARICO;LESTE 4;SAO PAULO;2,51
2689;EXERCITO BRASILEIRO;LESTE 4;SAO PAULO;3,49
2690;JOAO RAMACCIOTTI PROF;LESTE 4;SAO PAULO;3,38
2707;VITAL FOGACA DE ALMEIDA DOUTOR;LESTE 1;SAO PAULO;2,62
2719;CAETANO MIELE PROFESSOR;LESTE 1;SAO PAULO;2,81
2720;ANNITA GUASTINI EIRAS PROFESSORA;LESTE 1;SAO PAULO;4,32
2732;IRENE BRANCO DA SILVA PROFESSORA;LESTE 1;SAO PAULO;3,82
2744;FILOMENA MATARAZZO CONDESSA;LESTE 1;SAO PAULO;2,94
2756;EUNICE LAUREANO DA SILVA PROFESSORA;LESTE 1;SAO PAULO;3,31
2768;VALACE MARQUES PROFESSOR;LESTE 1;SAO PAULO;5,32
2773;BENEDITA DE REZENDE PROFESSORA;LESTE 1;SAO PAULO;4,48
2781;JOSE DE CARVALHO PADRE;LESTE 1;SAO PAULO;4,4
2793;REPUBLICA DO URUGUAI;LESTE 1;SAO PAULO;5,3
2800;THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA;LESTE 1;SAO PAULO;3,71
2811;SILVA PRADO DEPUTADO;LESTE 1;SAO PAULO;1,95
2823;MARINHA DO BRASIL;LESTE 1;SAO PAULO;4,57
2835;ERMELINO MATARAZZO;LESTE 1;SAO PAULO;5,3
2847;MIGUEL DE CERVANTES Y SAAVEDRA DOM;LESTE 1;SAO PAULO;2,88
2859;MARIO KOZEL FILHO;LESTE 2;SAO PAULO;4,67
2860;ESTELA BORGES MORATO;LESTE 2;SAO PAULO;5,52
2872;MAXIMO DE MOURA SANTOS PROFESSOR;LESTE 1;SAO PAULO;4,11
2884;RAUL PILLA DEPUTADO;LESTE 1;SAO PAULO;4,73
2896;GALILEO EMENDABILI ESCULTOR;LESTE 1;SAO PAULO;4,38
2902;CARLOS GOMES;LESTE 2;SAO PAULO;2,75
2914;DOM PEDRO I;LESTE 2;SAO PAULO;3,11
2926;ARMANDO GOMES DE ARAUJO PROF;LESTE 2;SAO PAULO;3,78
2938;ALBERTO SCHWEITZER;LESTE 2;SAO PAULO;4,15
2948;PLINIO CAIADO DE CASTRO DR;LESTE 2;SAO PAULO;5,77
2951;MANOEL DE NOBREGA DEPUTADO;LESTE 2;SAO PAULO;3,61
2963;JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF;LESTE 2;SAO PAULO;5,64
2975;MARIO REYS COMENDADOR;LESTE 1;SAO PAULO;4,13
2987;GABRIEL PELICIOTTI PROFESSOR;LESTE 1;SAO PAULO;4,97
2999;SHINQUICHI AGARI;LESTE 2;SAO PAULO;3,7
3001;DARIO DE QUEIROZ PROF;LESTE 2;SAO PAULO;3,79
3013;DIOGO DE FARIA DR;LESTE 2;SAO PAULO;5,04
3037;ATAULPHO ALVES;LESTE 2;SAO PAULO;3,41
3049;ANTONIO DE PADUA VIEIRA;LESTE 2;SAO PAULO;5,38
3050;ELIZA RAQUEL MACEDO DE SOUZA PROFA;LESTE 2;SAO PAULO;4,59
3062;EMILIA DE PAIVA MEIRA PROFESSORA;LESTE 1;SAO PAULO;2,6
3074;GERALDO DOMINGOS CORTEZ PROFESSOR;LESTE 1;SAO PAULO;4,15
3086;HELENA LOMBARDI BRAGA PROFESSORA;LESTE 1;SAO PAULO;3,7
3098;ASCANIO DE AZEVEDO CASTILHO PROF;LESTE 4;SAO PAULO;4,09
3104;CIDADE DE HIROSHIMA;LESTE 4;SAO PAULO;3,29
3116;APPARECIDA RAHAL PROFESSORA;LESTE 1;SAO PAULO;3,78
3128;DECIO FERRAZ ALVIM PROFESSOR DOUTOR;LESTE 3;SAO PAULO;5,02
3136;LINA DA COSTA COUTO PROFA;LESTE 4;SAO PAULO;5,65
3141;LUIZ ROSANOVA PROFESSOR;LESTE 3;SAO PAULO;4,52
3153;LUZIA DE QUEIROZ E OLIVEIRA PROFA;LESTE 4;SAO PAULO;3,75
3165;JANDYRA VIEIRA CUNHA BARRA PROFA;LESTE 4;SAO PAULO;4,82
3177;ALCIDES BOSCOLO PROFESSOR;LESTE 3;SAO PAULO;5,58
3189;ALFREDO MACHADO PEDROSA PROF;LESTE 4;SAO PAULO;5,45
3190;ALVARES DE AZEVEDO;LESTE 1;SAO PAULO;2,87
3207;MARIA CECILIA DA SILVA GROHMANN PROFESSORA;LESTE 1;SAO PAULO;4,98
3219;MARIA DA CONCEICAO OLIVEIRA COSTA PROFESSORA;LESTE 1;SAO PAULO;4,19
3220;MILTON CRUZEIRO PROFESSOR;LESTE 1;SAO PAULO;3,6
3232;ADELINO JOSE DA SILVA D AZEVEDO PROF;LESTE 4;SAO PAULO;3,87
3244;ADHEMAR ANTONIO PRADO PROFESSOR;LESTE 3;SAO PAULO;4,5
3256;PEDRO TAQUES;LESTE 3;SAO PAULO;3,82
3268;SEBASTIAO FARIA ZIMBRES PROFESSOR;LESTE 3;SAO PAULO;4,88
3273;SAO JOAO EVANGELISTA;LESTE 4;SAO PAULO;3,44
3281;BALBINA NETTO VELLOSO PROFA;LESTE 2;SAO PAULO;5,61
3293;THALES CASTANHO DE ANDRADE PROFESSOR;LESTE 1;SAO PAULO;4,58
3300;ALFREDO ASHCAR PROF;LESTE 4;SAO PAULO;3,79
3311;ANDRE NUNES JUNIOR;LESTE 3;SAO PAULO;4,03
3323;RITA PINTO DE ARAUJO PROFESSORA;LESTE 3;SAO PAULO;5,89
3335;WALTER BELIAN;LESTE 4;SAO PAULO;3,95
3347;REYNALDO PORCHAT PROFESSOR;CENTRO OESTE;SAO PAULO;3,12
3360;ALFREDO PAULINO;CENTRO OESTE;SAO PAULO;3,7
3372;ROMEU DE MORAES;CENTRO OESTE;SAO PAULO;1,45
3384;ANHANGUERA;CENTRO OESTE;SAO PAULO;2,9
3402;PEREIRA BARRETO;CENTRO OESTE;SAO PAULO;2,4
3414;ANTONIO PRADO CONSELHEIRO;CENTRO;SAO PAULO;4,83
3426;CANUTO DO VAL;CENTRO;SAO PAULO;3,74
3448;PEDRO II;CENTRO;SAO PAULO;4,29
3451;JOAO KOPKE;CENTRO;SAO PAULO;4,6
3463;REINALDO RIBEIRO DA SILVA DOUTOR;CENTRO OESTE;SAO PAULO;3,34
3475;JOSE CANDIDO DE SOUZA;CENTRO;SAO PAULO;2,25
3487;ARTHUR GUIMARAES;CENTRO;SAO PAULO;3,91
3499;ZULEIKA DE BARROS MARTINS FERREIRA PROFESSORA;CENTRO;SAO PAULO;1,27
3505;DEODORO MARECHAL;CENTRO;SAO PAULO;5,59
3517;MARINA CERQUEIRA CESAR PROFESSORA;CENTRO OESTE;SAO PAULO;2,78
3530;ALARICO SILVEIRA DOUTOR;CENTRO;SAO PAULO;3,66
3542;JOSE MONTEIRO BOANOVA PROFESSOR;CENTRO OESTE;SAO PAULO;1,54
3554;MAURO DE OLIVEIRA PROFESSOR;CENTRO;SAO PAULO;2,36
3566;MISS BROWNE;CENTRO;SAO PAULO;2,36
3585;MANUEL CIRIDIAO BUARQUE PROFESSOR;CENTRO OESTE;SAO PAULO;0,97
3591;EDMUNDO DE CARVALHO DOUTOR;CENTRO OESTE;SAO PAULO;3,39
3612;GUILHERME KUHLMANN;CENTRO OESTE;SAO PAULO;3,37
3621;PRUDENTE DE MORAES;CENTRO;SAO PAULO;4,42
3633;FARIA LIMA BRIGADEIRO;CENTRO;SAO PAULO;3,52
3657;EMILIANO AUGUSTO CAVALCANTI DE ALBUQUERQUE E MELO;CENTRO OESTE;SAO PAULO;2,21
3669;ALEXANDRE VON HUMBOLDT;CENTRO OESTE;SAO PAULO;2,38
3670;FIDELINO FIGUEIREDO PROFESSOR;CENTRO;SAO PAULO;3,21
3682;FERNAO DIAS PAES;CENTRO OESTE;SAO PAULO;1,73
3700;ANTONIO ALVES CRUZ PROFESSOR;CENTRO OESTE;SAO PAULO;0,28
3712;MARINA CINTRA PROFESSORA;CENTRO;SAO PAULO;3,79
